recipient_name,year_reported,candidate_or_measure,corrected_name,committee_id,candidate_office_sought,support_or_oppose
"Communities United for Tomorrow's Economy supporting the 2016 re-election of Mayor Faulconer, sponsored by and with major funding from the Lincoln Club of San Diego County and the San Diego Regional",2015,Kevin Faulconer,"Communities United for Tomorrow's Economy supporting the 2016 re-election of Mayor Faulconer, sponsored by and with major funding from the Lincoln Club of San Diego County and the San Diego Regional",1377676,San Diego Mayor,Support
"Comprehensive Pension Reform for San Diego (CPR for San Diego)-Yes on B major funding by The Lincoln Club of San Diego Cnty and San Diegans for Pension Reform, advocates for responsible city finances.",2015,B: Amends City Charter regarding retirement benefits,"Comprehensive Pension Reform for San Diego (CPR for San Diego)-Yes on B major funding by The Lincoln Club of San Diego Cnty and San Diegans for Pension Reform, advocates for responsible city finances.",1335733,,Support
Faulconer for Mayor 2014,2015,Kevin Faulconer,Faulconer for Mayor 2014,1360150,San Diego Mayor,Support
Faulconer for Mayor 2016,2015,Kevin Faulconer,Faulconer for Mayor 2016,1377181,San Diego Mayor,Support
Flores for City Council 2016,2015,Ricardo Flores,Flores for City Council 2016,1377572,San Diego City Council District 9,Support
Gay & Lesbian Victory Fund,2015,,Gay and Lesbian Victory Fund,930555,,
Gay & Lesbian Victory Fund PAC,2015,,Gay and Lesbian Victory Fund,930555,,
Working Families Opposing Glazer for Senate 2015 Sponsored by Labor Organizations,2015,Steven Glazer,Glazer for Senate 2015 Sponsored By Labor Organizations; Working Families Opposing,13749783,,Oppose
GOLDEN STATE VOTER PARTICIPATION PROJECT,2015,,Golden State Voter Participation Project,1345010,,
Gomez for City Council 2016,2015,Georgette Gomez ,Gomez for City Council 2016,1377434,San Diego City Council District 9,Support
Gregory Morales For Mayor 2016,2015,Gregory Morales ,Gregory Morales For Mayor 2016,1380660,San Diego Mayor,Support
"Hard Working San Diegans for Earned Sick Days and Minimum Wage-No on I, A Coalition of Community Non-Profits, Employee Orgs, Local Busns, and Faith Based Orgs",2015,I: Referendum of ordinance regarding earned sick leave and minimum wage,"Hard Working San Diegans for Earned Sick Days and Minimum Wage-No on I, A Coalition of Community Non-Profits, Employee Orgs, Local Busns, and Faith Based Orgs",1369785,,Oppose
Hickey for City Attorney 2016,2015,Robert Hickey,Hickey for City Attorney 2016,1377481,San Diego City Attorney,Support
Jim Morrison City Council D2/2014,2015,Jim Morrison,Jim Morrison City Council D2/2014,1366044,San Diego City Council District 2,Support
Jim Morrison for City Council,2015,Jim Morrison,Jim Morrison for City Council,1234153,San Diego City Council District 6,Support
Joe LaCava for City Council 2016,2015,Joe LaCava ,Joe LaCava for City Council 2016,1377726,San Diego City Council District 1,Support
Jose Caballero for City Council District 7 2016,2015,Jose Caballero ,Jose Caballero for City Council District 7 2016,1378201,San Diego City Council District 7,Support
Justin DeCesare For District 7 San Diego City Council 2016,2015,Justin DeCesare,Justin DeCesare For District 7 San Diego City Council 2016,1366502,San Diego City Council District 7,Support
Kersey for Council 2016,2015,Mark Kersey,Kersey for Council 2016,1377859,San Diego City Council District 5,Support
Kevin Faulconer,2015,Kevin Faulconer,Kevin Faulconer,,San Diego Mayor,
Laborers LOCAL 89 PAC FUND,2015,,Laborers LOCAL 89 PAC FUND,1316497,,
Lincoln Club of San Diego County,2015,,Lincoln Club of SD County,831561/C00177766,,
The Lincoln Club of San Diego County,2015,,Lincoln Club of SD County,831561/C00177766,,
Lorena Gonzalez,2015,Lorena Gonzalez,Lorena Gonzalez,,CA Assembly District 80,
Mara Elliott for San Diego City Attorney 2016,2015,Mara Elliott ,Mara Elliott for San Diego City Attorney 2016,1377818,San Diego City Attorney,Support
Mikas for Council 2016,2015,Keith Mikas ,Mikas for Council 2016,1380119,San Diego City Council District 5,Support
Mitz Lee for City Council 2014,2015,Mitz Lee ,Mitz Lee for City Council 2014,1358131,San Diego City Council District 6,Support
Myrtle Cole For City Council 2014,2015,Myrtle Cole,Myrtle Cole For City Council 2014,1362102,San Diego City Council District 4,Support
Myrtle Cole Legal Defense Fund,2015,Myrtle Cole,Myrtle Cole Legal Defense Fund,1367605,,
Neighborhoods for Clean Elections,2015,,Neighborhoods for Clean Elections,1280768,,
No Committee City Attorney Jan Goldsmith,2015,Jan Goldsmith,No Committee City Attorney Jan Goldsmith,,,
No Committee Dist 2 Lorie Zapf,2015,Lorie Zapf,No Committee Dist 2 Lorie Zapf,,,
Peace Officers Research Association of California Political Issues Committee (PORAC PIC),2015,,Peace Officers Research Association of California Political Issues Committee (PORAC PIC),911908,,
Phil Thalheimer for City Council,2015,Phil Thalheimer ,Phil Thalheimer for City Council,1255438,San Diego City Council District 1,Support
"Protect Neighborhood Services Now, Sponsored by San Diego Municipal Employees Association",2015,,"Protect Neighborhood Services Now, Sponsored by San Diego Municipal Employees Association",1326869,,
Protect Our Jobs  No On B And C Port of SD Ship Repair Assn Major Funding By NASSCO and BAE Systems,2015,B: Referendum of a resolution related to Barrio Logan community plan update,Protect Our Jobs  No On B And C Port of SD Ship Repair Assn Major Funding By NASSCO and BAE Systems,1360951,,Oppose
"Protect San Diego's Neighborhoods, a coalition of neighborhood residents, community planners, taxpayers, and small businesses.  Major funding by Donahue Shriber",2015,,"Protect San Diego's Neighborhoods, a coalition of neighborhood residents, community planners, taxpayers, and small businesses.  Major funding by Donahue Shriber",1376028,,
Public Safety Advocates,2015,,Public Safety Advocates,1364679,,
Putting the East Bay First - A Committee to Elect Bonilla for Senate 2015,2015,Susan Bonilla,"Putting the East Bay First, a committee to elect Bonilla for Senate 2015, Sponsored by firefighters, doctors, dentists and building trades organizations",1376437,CA Senate District 7,Support
Rafael Castellanos for City Attorney 2016,2015,Rafael Castellanos,Rafael Castellanos for City Attorney 2016,1377483,San Diego City Attorney,Support
Ray Ellis for Council 2016,2015,Ray Ellis,Ray Ellis for Council 2016,1377462,San Diego City Council District 1,Support
"Rebecca Paida for San Diego City Council District 9, 2016",2015,Rebecca Paida ,"Rebecca Paida for San Diego City Council District 9, 2016",1378621,San Diego City Council District 9,Support
Reelect David Alvarez 2014 for City Council District 8,2015,David Alvarez,Reelect David Alvarez 2014 for City Council District 8,1366059,San Diego City Council District 8,Support
Republican Party of San Diego County,2015,,Republican Party of San Diego County,741949,,
The Republican Party of San Diego County,2015,,Republican Party of San Diego County,741949,,
Rising Majority,2015,,Rising Majority,1360628,,
ROBERT GARCIA,2015,Robert Garcia,Robert Garcia,,Long Beach Mayor,
Run Women Run,2015,,Run Women Run,1311775,,
Sam Bedwell For City Council 2016,2015,Sam Bedwell ,Sam Bedwell For City Council 2016,1380862,San Diego City Council District 9,Support
San Diegans for Jobs and Sustainable Communities sponsored & funded by Kilroy Realty LP,2015,,San Diegans for Jobs and Sustainable Communities sponsored & funded by Kilroy Realty LP,1376230,,
"San Diego City Fire Fighters, Local 145 PAC",2015,,"San Diego City Fire Fighters, Local 145 PAC",76-1453,,
San Diego County Democratic Central Committee,2015,,San Diego County Democratic Central Committee,741906,,
San Diego Co. Democratic Party,2015,,San Diego County Democratic Party,741906,,
San Diego County Democratic Party,2015,,San Diego County Democratic Party,741906,,
SD County Democrats For Environmental Action,2015,,San Diego County Democrats for Environmental Action,1369147,,
SAN DIEGO COUNTY HOTEL-MOTEL ASSOCIATION ISSUE ADVOCACY PAC,2015,,SAN DIEGO COUNTY HOTEL-MOTEL ASSOCIATION ISSUE ADVOCACY PAC,99-1330,,
San Diego Democrats for Equality,2015,,San Diego Democrats for Equality,,,
San Diego Forward,2015,,San Diego Forward,1380361,,
San Diego Jobs Political Action Committee (SD Jobs PAC) sponsored by the Downtown San Diego Partnership,2015,,San Diego Jobs Political Action Committee (SD Jobs PAC) sponsored by the Downtown San Diego Partnership,1335900,,
San Diego Police Officers Assn. Political Action Committee,2015,,San Diego Police Officers Assn. Political Action Committee,811267,,
San Diego Regional Chamber of Commerce Political Action Committee (SD Chamber PAC),2015,,San Diego Regional Chamber of Commerce Political Action Committee (SD Chamber PAC),1335312,,
San Diego Restaurant and Beverage Political Action Committee sponsored by California Restaurant Association,2015,,San Diego Restaurant and Beverage Political Action Committee sponsored by California Restaurant Association,1258295,,
San Diego Small Business Coalition sponsored by the San Diego Regional Chamber of Commerce,2015,,San Diego Small Business Coalition sponsored by the San Diego Regional Chamber of Commerce,1368072,,
"San Diego Socialist Campaign, The",2015,,"San Diego Socialist Campaign, The",1377447,,
San Diego Unite,2015,,San Diego Unite,1373239,,
San Diego Works! Sponsored by San Diego-Imperial Counties Labor Council AFL-CIO,2015,,San Diego Works! Sponsored by San Diego-Imperial Counties Labor Council AFL-CIO,744131,,
Sandy Spackman for City Council,2015,Sandy Spackman ,Sandy Spackman for City Council,1354330,San Diego City Council District 4,Support
Sarah Boot for City Council 2014,2015,Sarah Boot ,Sarah Boot for City Council 2014,1359642,San Diego City Council District 2,Support
Sarah Saez for District 9 City Council 2016,2015,Sarah Saez,Sarah Saez for District 9 City Council 2016,1379382,San Diego City Council District 9,Support
Scott Sanborn City Council 2016,2015,Scott Sanborn,Scott Sanborn City Council 2016,1378009,San Diego City Council District 3,Support
Sherman for City Council 2016,2015,Scott Sherman ,Sherman for City Council 2016,1377498,San Diego City Council District 7,Support
Shirley Weber,2015,Shirley Weber,Shirley Weber,,CA Assembly District 79,
The Infrastructure PAC of the Associated General Contractors,2015,,The Infrastructure PAC of the Associated General Contractors,94-0906,,
Todd Gloria,2015,Todd Gloria,Todd Gloria,,CA Assembly District 78,
Todd Gloria for Assembly 2016,2015,Todd Gloria,Todd Gloria for Assembly 2016,1376636,CA Assembly District 78,Support
Todd Gloria for City COuncil 2012,2015,Todd Gloria,Todd Gloria for City Council 2012,1339121,San Diego City Council District 3,Support
Toni Atkins,2015,Toni Atkins,Toni Atkins,,CA Assembly District 78,
United Food and Commercial Workers Union Local 135 PAC,2015,,United Food and Commercial Workers Union Local 135 PAC,1252582,,
"Yes On B AND C, Barrio Logan Community Plan, Sponsored By Social Justice Organizations",2015,B: Referendum of a resolution related to Barrio Logan community plan update,"Yes On B AND C, Barrio Logan Community Plan, Sponsored By Social Justice Organizations",1365118,,Support
"Yes On B AND C, Barrio Logan Community Plan, Sponsored By Social Justice Organizations",2015,C: Referendum of ordinances related to Barrio Logan community plan update,"Yes On B AND C, Barrio Logan Community Plan, Sponsored By Social Justice Organizations",1365118,,Support
Californians for Death Penalty Reform & Savings,2015,,,,,
No on 57: Stop Early Release of Violent Criminals,2016,57: Criminal Sentences. Parole. Juvenile Criminal Proceedings and Sentencing. Initiative Constitutional Amendment and Statute. (Statewide),57: Criminal Sentences. Parole. Juvenile Criminal Proceedings and Sentencing. Initiative Constitutional Amendment and Statute. (Statewide),,,Oppose
Measure A,2016,"A: San Diego County Road Repair, Transit, Traffic Relief, Safety and Water Quality Measure (Countywide)","A: San Diego County Road Repair, Transit, Traffic Relief, Safety and Water Quality Measure (Countywide)",,,
Abigail Medina,2016,Abigail Medina,Abigail Medina,,CA Assembly District 40,
Al Muratsuchi,2016,Al Muratsuchi ,Al Muratsuchi ,,CA Assembly District 66,
Alberto Velasquez,2016,Alberto Velasquez,Alberto Velasquez,,Democratic Party Central Committee District 80,
Alicia Nichols,2016,Alicia Nichols,Alicia Nichols,,Democratic Party Central Committee District 78,
"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont Cuyamaca Community Colleges COPE",2016,,"American Federation of Teachers Guild, Local 1931 San Diego and Grossmont - Cuyamaca Colleges Committee on Political Education (AKA: AFT Guild, Local 1931 - COPE)",901908,,
Anna Schmidt,2016,Anna Schmidt ,Anna Schmidt ,,Democratic Party Central Committee District 80,
Ansermio Jake Estrada,2016,Ansermio Jake Estrada,Ansermio Jake Estrada,,Democratic Party Central Committee District 80,
Anthony Bernal,2016,Anthony Bernal,Anthony Bernal,,San Diego City Council District 3,
Anthony Bernal for City Council 2016,2016,Anthony Bernal,Anthony Bernal for City Council 2016,1376415,San Diego City Council District 3,Support
Anthony Rendon,2016,Anthony Rendon,Anthony Rendon,,CA Assembly District 63,
Araceli Martinez for San Diego City Council District 9 2016,2016,Araceli Martinez ,Araceli Martinez for San Diego City Council District 9 2016,1378462,San Diego City Council District 9,Support
Barbara Bry,2016,Barbara Bry,Barbara Bry,,San Diego City Council District 1,
Barbara Bry for City Council District 1 2016,2016,Barbara Bry,Barbara Bry for City Council District 1 2016,1377265,San Diego City Council District 1,Support
Measure BB,2016,BB: Issuing $128 Million in Bonds (Grossmont Union High School District),BB: Shall Grossmont Union High School District issue $128 million in bonds (Grossmont Union High School District),,,
Ben Hueso,2016,Ben Hueso,Ben Hueso,,CA Senate District 40,
Bill Harrison,2016,Bill Harrison ,Bill Harrison ,,Fremont Mayor,
Brian Maienschein,2016,Brian Maienschein ,Brian Maienschein ,,CA Assembly District 77,
Bruce Lightner,2016,Bruce Lightner ,Bruce Lightner ,,San Diego City Council District 1,
Bruce Lightner for City Council 2016,2016,Bruce Lightner ,Bruce Lightner for City Council 2016,1384220,San Diego City Council District 1,Support
Bryan Pease for San Diego City Attorney 2016,2016,Bryan Pease ,Bryan Pease for San Diego City Attorney 2016,1382056,San Diego City Attorney,Support
San Diego Integrated Convention Center Expansion/Stadium & Tourism Initiative; Measure C,2016,C: Downtown stadium initiative,C: Downtown stadium initiative,,,
Cabrera for City Attorney 2016,2016,Gil Cabrera,Cabrera for City Attorney 2016,1374483,San Diego City Attorney,Support
California Apartment Association Political Action Committee,2016,,California Apartment Association Political Action Committee,745208,,
CA Democratic Party,2016,,California Democratic Party,741666,,
California Democratic Party,2016,,California Democratic Party,741666,,
California Voter Project,2016,,California Voter Project,1363108,,
Californians for Retirement Security,2016,,Californians for Retirement Security,,,
"Californians to Mend, Not End, the Death Penalty. No on Prop 62, Yes on Prop 66.",2016,,"Californians to Mend, Not End, the Death Penalty. No on Prop 62, Yes on Prop 66. Supported by Prosecutors, Law Enforcement, and Families of Victims",1346266,,
Caridad Sanchez,2016,Caridad Sanchez ,Caridad Sanchez,,Democratic Party Central Committee District 80,
"Central Firefighters PAC, Sponsored by Professional Firefighters Association of Santa Cruz County Local 3605",2016,,"Central Firefighters PAC, Sponsored by Professional Firefighters Association of Santa Cruz County Local 3605",,,
Chad Mayes,2016,Chad Mayes ,Chad Mayes ,,CA Assembly District 42,
Cheryl Cook-Kallio,2016,Cheryl Cook-Kallio ,Cheryl Cook-Kallio ,,CA Assembly District 16,
Cheryl R. Brown,2016,Cheryl R. Brown ,Cheryl R. Brown ,,CA Assembly District 47,
Chris Clark,2016,Chris Clark ,Chris Clark ,,Mountain View City Council,
Chris Ward for City Council 2016,2016,Chris Ward ,Chris Ward for City Council 2016,1360787,San Diego City Council District 3,Support
Citizens for a Better San Diego,2016,A: Sales tax increase for infrastructure (Countywide),"Citizens for a Better San Diego - Yes on A, a coalition of construction professionals and labor organizations to repair San Diego's roads, bridges and overpasses",1382361,,Support
Citizens for a Safe San Diego supporting Bob Hickey for City Attorney 2016,2016,Robert Hickey,Citizens for a Safe San Diego supporting Bob Hickey for City Attorney 2016,1383954,San Diego City Attorney,Support
"Citizens for Fair & Honest Elections-No on Measure K, a coalition of individuals/orgs. supportive of fiscally prudent elections, funded: Lincoln Club of SD Co. and the SD Reg. Chamber of Commerce PAC",2016,"K: Charter amendment requiring run-off election for the offices of mayor, city attorney and councilmember","Citizens for Fair & Honest Elections-No on Measure K, a coalition of individuals/orgs. supportive of fiscally prudent elections, funded: Lincoln Club of SD Co. and the SD Reg. Chamber of Commerce PAC",1389727,,Oppose
Citizens for Good Government Supporting Barbara Bry for City Council 2016,2016,Barbara Bry,Citizens for Good Government supporting Barbara Bry for City Council 2016,1383422,San Diego City Council District 1,Support
Citizens for Good Government supporting Barbara Bry for City Council 2016,2016,Barbara Bry,Citizens for Good Government supporting Barbara Bry for City Council 2016,1383422,San Diego City Council District 1,Support
Citizens for the Responsible Mgmt of Major Tourism and Entertainment Resources-Yes on D Support by East Village property owners w/ major funding from Ballpark Village LLC & Cory Briggs/Briggs Law Corp,2016,D: Facilities and Tourism Tax Initiative,Citizens for the Responsible Mgmt of Major Tourism and Entertainment Resources-Yes on D Support by East Village property owners w/ major funding from Ballpark Village LLC & Cory Briggs/Briggs Law Corp,1380972,,Support
"Citizens Opposed to Hickey for City Attorney 2016, sponsored by International Brotherhood of Electrical Workers Local 569 Candidate PAC",2016,Robert Hickey,"Citizens Opposed to Hickey for City Attorney 2016, sponsored by International Brotherhood of Electrical Workers Local 569 Candidate PAC",1388724,San Diego City Attorney,Oppose
Coastal Communities for a Fair Economy supporting Ray Ellis for Council 2016 spnsrd by and w/ major funding from San Diego Regional Chamber of Commerce PAC and the Lincoln Club of SD county,2016,Ray Ellis,Coastal Communities for a Fair Economy supporting Ray Ellis for Council 2016 spnsrd by and w/ major funding from San Diego Regional Chamber of Commerce PAC and the Lincoln Club of SD county,1383220,San Diego City Council District 1,Support
COLIN PARENT,2016,Colin Parent ,Colin Parent,,La Mesa City Council,
Colin Parent,2016,Colin Parent ,Colin Parent,,La Mesa City Council,
"Committee to Support Prop I, Barbara Bry, and Justin DeCesare sponsored by Alliance San Diego Mobilization Fund",2016,Barbara Bry,"Committee to Support Prop I, Barbara Bry, and Justin DeCesare sponsored by Alliance San Diego Mobilization Fund",1384522,San Diego City Council District 1,Support
Communities for a Better Tomorrow by Chris Cate,2016,,Communities for a Better Tomorrow by Chris Cate,1392688,,
"Communities United for Tomorrow's Economy supporting the 2016 re-election of Mayor Faulconer, sponsored by and with major funding from the Lincoln Club of San Diego County and the San Diego Regional",2016,Kevin Faulconer,"Communities United for Tomorrow's Economy supporting the 2016 re-election of Mayor Faulconer, sponsored by and with major funding from the Lincoln Club of San Diego County and the San Diego Regional",1377676,San Diego Mayor,Support
Communities United for Tomorrows Economy Supporting the Re-election of Mayor Faulconer,2016,Kevin Faulconer,"Communities United for Tomorrow's Economy supporting the 2016 re-election of Mayor Faulconer, sponsored by and with major funding from the Lincoln Club of San Diego County and the San Diego Regional",1377676,San Diego Mayor,Support
Community Leaders of America (MPO),2016,,Community Leaders of America (MPO),1373013,,
"Comprehensive Pension Reform for San Diego (CPR for San Diego)-Yes on B major funding by The Lincoln Club of San Diego Cnty and San Diegans for Pension Reform, advocates for responsible city finances.",2016,B: Amends City Charter regarding retirement benefits,"Comprehensive Pension Reform for San Diego (CPR for San Diego)-Yes on B major funding by The Lincoln Club of San Diego Cnty and San Diegans for Pension Reform, advocates for responsible city finances.",1335733,,Support
Craig Young,2016,Craig Young,Craig Young ,,Yorba Linda City Council,
Curt Hagman,2016,Curt Hagman,Curt Hagman ,,San Bernardino County Supervisor District 4,
Danny Ortiz,2016,Danny Ortiz,Danny Ortiz,,Democratic Party Central Committee District 79,
David Alvarez for Democratic Party Central Committee 2016,2016,David Alvarez,David Alvarez for Democratic Party Central Committee 2016,1384775,,Support
David Canepa,2016,David Canepa ,David Canepa ,,San Mateo County Supervisor District 5,
David Warmoth,2016,David Warmoth,David Warmoth,,Democratic Party Central Committee District 79,
Devora Davis,2016,Devora Davis,Devora Davis,,San Jose City Council District 6,
Dick Haley,2016,Dick Haley,Dick Haley,,Corona City Council,
Ed Harris,2016,Ed Harris ,Ed Harris ,,San Diego Mayor,
Eduardo Reyes,2016,Eduardo Reyes ,Eduardo Reyes ,,Chula Vista City Council District 4,
Eloise Reyes,2016,Eloise Reyes,Eloise Reyes,,CA Assembly District 47,
Equality California PAC,2016,,Equality California Political Action Committee,1254010,,
Faulconer for Mayor 2016,2016,Kevin Faulconer,Faulconer for Mayor 2016,1377181,San Diego Mayor,Support
Flores for City Council 2016,2016,Ricardo Flores,Flores for City Council 2016,1377572,San Diego City Council District 9,Support
Gabriela Dominguez,2016,Gabriela Dominguez ,Gabriela Dominguez ,,Democratic Party Central Committee District 80,
Gay & Lesbian Victory Fund PAC,2016,,Gay and Lesbian Victory Fund,930555,,
Gil Cabrera,2016,Gil Cabrera,Gil Cabrera,,San Diego City Attorney,
Gomez for City Council 2016,2016,Georgette Gomez ,Gomez for City Council 2016,1377434,San Diego City Council District 9,Support
Proposition H,2016,H: Charter amendment: infrastructure fund,H: Charter amendment: infrastructure fund,,,
"Hard Working San Diegans for Earned Sick Days and Minimum Wage-No on I, A Coalition of Community Non-Profits, Employee Orgs, Local Busns, and Faith Based Orgs",2016,I: Referendum of ordinance regarding earned sick leave and minimum wage,"Hard Working San Diegans for Earned Sick Days and Minimum Wage-No on I, A Coalition of Community Non-Profits, Employee Orgs, Local Busns, and Faith Based Orgs",1369785,,Oppose
Harris for Mayor 2016,2016,Ed Harris ,Harris for Mayor 2016,1384074,San Diego Mayor,Support
Hickey for City Attorney 2016,2016,Robert Hickey,Hickey for City Attorney 2016,1377481,San Diego City Attorney,Support
"Charter Amendment Regarding Balboa Park and San Diego High School, Measure I",2016,I: Charter Amendment Regarding Balboa Park and San Diego High School,I: Charter Amendment Regarding Balboa Park and San Diego High School,,,
"Charter Amendment regarding Balboa Park and San Diego High School, Measure I",2016,I: Charter Amendment Regarding Balboa Park and San Diego High School,I: Charter Amendment Regarding Balboa Park and San Diego High School,,,
Earned Sick Leave and Minimum Wage.,2016,I: Referendum of ordinance regarding earned sick leave and minimum wage,I: Referendum of ordinance regarding earned sick leave and minimum wage,,,
"Minimum Wage - Ordinance O-20390 , Measure I",2016,I: Referendum of ordinance regarding earned sick leave and minimum wage,I: Referendum of ordinance regarding earned sick leave and minimum wage,,,
Minimum Wage Increase Veto Referendum,2016,I: Referendum of ordinance regarding earned sick leave and minimum wage,I: Referendum of ordinance regarding earned sick leave and minimum wage,,,
"Referendum of Ordinance Relating to Earned Sick Leave and Minimum Wage, Proposition I",2016,I: Referendum of ordinance regarding earned sick leave and minimum wage,I: Referendum of ordinance regarding earned sick leave and minimum wage,,,
Imperial Valley Works! Sponsored by San Diego & Imperial Counties Labor Council AFL-CIO,2016,,Imperial Valley Works! Sponsored by San Diego - Imperial Counties Labor Council AFL-CIO ,1322357,,
James Mangione,2016,James Mangione ,James Mangione ,,San Diego County Superior Court Judge District 25,
Jessica Hayes,2016,Jessica Hayes,Jessica Hayes,,Democratic Party Central Committee District 79,
Jim Morrison City Council D2/2014,2016,Jim Morrison,Jim Morrison City Council D2/2014,1366044,San Diego City Council District 2,Support
Jim Morrison for City Council,2016,Jim Morrison,Jim Morrison for City Council,1234153,San Diego City Council District 6,Support
Jimmy Nguyen,2016,Jimmy Nguyen ,Jimmy Nguyen ,,San Jose City Council District 8,
Joanne F. Climie,2016,Joanne F. Climie,Joanne F. Climie,,Democratic Party Central Committee District 78,
Joaquin Arambula,2016,Joaquin Arambula ,Joaquin Arambula ,,CA Assembly District 31,
Joe LaCava for City Council 2016,2016,Joe LaCava ,Joe LaCava for City Council 2016,1377726,San Diego City Council District 1,Support
John Burnard,2016,John Burnard ,John Burnard ,,Riverside City Council District 7,
John McAlister,2016,John McAlister,John McAlister,,Mountain View City Council,
John Valdivia,2016,John Valdivia ,John Valdivia ,,San Bernardino City Council District 3,
Johnny Khamis,2016,Johnny Khamis ,Johnny Khamis ,,San Jose City Council District 10,
JORDAN BRANDMAN,2016,Jordan Brandman ,Jordan Brandman ,,Anaheim City Council District 3,
Jose Caballero for City Council District 7 2016,2016,Jose Caballero ,Jose Caballero for City Council District 7 2016,1378201,San Diego City Council District 7,Support
Jose Rodriguez,2016,Jose Rodriguez ,Jose Rodriguez ,,National City City Council,
Justin DeCesare,2016,Justin DeCesare,Justin DeCesare,,San Diego City Council District 7,
Justin DeCesare For District 7 San Diego City Council 2016,2016,Justin DeCesare,Justin DeCesare For District 7 San Diego City Council 2016,1366502,San Diego City Council District 7,Support
Charter Amendment: K,2016,"K: Charter amendment requiring run-off election for the offices of mayor, city attorney and councilmember","K: Charter amendment requiring run-off election for the offices of mayor, city attorney and councilmember",,,
SAN DIEGO NOVEMBER RUNOFF ELECTION & SAN DIEGO CITIZENS' INITIATIVES ON THE GENERAL ELECTION BALLOT,2016,"K: Charter amendment requiring run-off election for the offices of mayor, city attorney and councilmember","K: Charter amendment requiring run-off election for the offices of mayor, city attorney and councilmember",,,
Kelvin Barrios,2016,Kelvin Barrios ,Kelvin Barrios ,,Democratic Party Central Committee District 80,
Keri Katz,2016,Keri Katz,Keri Katz,,San Diego County Superior Court Judge District 38,
Kersey for Council 2016,2016,Mark Kersey,Kersey for Council 2016,1377859,San Diego City Council District 5,Support
Kevin de Leon,2016,Kevin de Leon,Kevin de Leon,,CA Lieutenant Governor,
Kevin Faulconer,2016,Kevin Faulconer,Kevin Faulconer,,San Diego Mayor,
Kevin Jeffries,2016,Kevin Jeffries,Kevin Jeffries ,,Riverside County Supervisor,
Kristin Gaspar,2016,Kristin Gaspar,Kristin Gaspar,,San Diego County Supervisor District 3,
Charter Amendment: L,2016,"L: Charter Amendment Requiring Citizens' Initiative and Referendum Measures to be Placed on November General Election Ballots, Unless the Council Decides to Submit Them to Voters Earlier","L: Charter Amendment Requiring Citizens' Initiative and Referendum Measures to be Placed on November General Election Ballots, Unless the Council Decides to Submit Them to Voters Earlier",,,
SAN DIEGO NOVEMBER RUNOFF ELECTION & SAN DIEGO CITIZENS' INITIATIVES ON THE GENERAL ELECTION BALLOT,2016,"L: Charter Amendment Requiring Citizens' Initiative and Referendum Measures to be Placed on November General Election Ballots, Unless the Council Decides to Submit Them to Voters Earlier","L: Charter Amendment Requiring Citizens' Initiative and Referendum Measures to be Placed on November General Election Ballots, Unless the Council Decides to Submit Them to Voters Earlier",,,
Laborers LOCAL 89 PAC FUND,2016,,Laborers LOCAL 89 PAC FUND,1316497,,
Lincoln Club of San Diego County,2016,,Lincoln Club of SD County,831561/C00177766,,
The Lincoln Club of San Diego County,2016,,Lincoln Club of SD County,831561/C00177766,,
Lorena Gonzalez,2016,Lorena Gonzalez,Lorena Gonzalez,,CA Assembly District 80,
Lori Kern,2016,Lori Kern,Lori Kern,,Democratic Party Central Committee District 79,
Lori Saldana For Mayor 2016,2016,Lori Saldana ,Lori Saldana For Mayor 2016,1382219,San Diego Mayor,Support
Los Angeles County Democratic Party - State Candidate Committe,2016,,Los Angeles County Democratic Party - State Candidate Committee,1237135,,
Lynne Kennedy,2016,Lynne Kennedy,Lynne Kennedy ,,Rancho Cucamonga City Council,
Madison Nguyen,2016,Madison Nguyen ,Madison Nguyen ,,CA Assembly District 27,
Manh Nguyen,2016,Manh Nguyen,Manh Nguyen,,San Jose City Council District 4,
Mara Elliot,2016,Mara Elliot ,Mara Elliot ,,San Diego City Attorney,
Mara Elliott for San Diego City Attorney 2016,2016,Mara Elliott ,Mara Elliott for San Diego City Attorney 2016,1377818,San Diego City Attorney,Support
Marc Berman,2016,Marc Berman ,Marc Berman ,,CA Assembly District 24,
Marco A. Briones,2016,Marco A. Briones,Marco A. Briones,,Democratic Party Central Committee District 80,
Margaret Abe_Koga,2016,Margaret Abe-Koga ,Margaret Abe-Koga ,,Mountain View City Council,
Michael Kasparian,2016,Michael Kasparian,Michael Kasparian,,Democratic Party Central Committee District 79,
Michelle Krug,2016,Michelle Krug,Michelle Krug,,Democratic Party Central Committee District 80,
Mikas for Council 2016,2016,Keith Mikas ,Mikas for Council 2016,1380119,San Diego City Council District 5,Support
Measure MM,2016,"MM: MiraCosta College Job Training, College Transfer, Veteran Support Measure","MM: MiraCosta College Job Training, College Transfer, Veteran Support Measure",,,
Neighborhood Services Coalition in support of Anthony Bernal for City Council 2016,2016,Anthony Bernal,Neighborhood Services Coalition in support of Anthony Bernal for City Council 2016,1385292,San Diego City Council District 3,Support
Neighborhoods for Clean Elections,2016,,Neighborhoods for Clean Elections,1280768,,
